id;date;description;quantity;unit_price;amount;request_date;promise_date;delivery_status
1;2022-09-12T11:42:18;no-volátil generating;71577;90268;77313;2022-09-12T18:09:25;2022-09-12T03:59:14;Pendiente
2;2022-09-12T20:10:07;web-enabled web Implementado;56254;56855;86039;2022-09-12T02:28:06;2022-09-12T04:04:05;Entregado
3;2022-09-12T19:53:32;Pelota revolutionize;81829;10313;66604;2022-09-12T10:03:59;2022-09-12T09:39:42;Entregado
4;2022-09-13T01:04:24;innovadora horas;57202;37828;32822;2022-09-12T22:03:56;2022-09-12T22:52:43;Entregado
5;2022-09-12T12:20:36;Vatu Intercambiable Asistente;37899;95102;22648;2022-09-12T04:04:34;2022-09-12T11:41:02;Pendiente
6;2022-09-12T08:27:22;up Bebes IB;20698;77012;38604;2022-09-12T11:02:40;2022-09-12T15:20:40;Entregado
7;2022-09-12T01:51:21;Sector;19456;49295;56530;2022-09-12T13:34:41;2022-09-12T11:22:15;Pendiente
8;2022-09-12T21:36:52;Guantes Oficial Morado;89393;11098;3314;2022-09-12T05:19:45;2022-09-12T18:30:44;Pendiente
9;2022-09-12T12:14:53;International;66013;42806;41285;2022-09-12T15:57:55;2022-09-12T14:27:41;Pendiente
10;2022-09-12T02:55:37;generate Consultor Ergonómico;73612;81480;63864;2022-09-12T22:55:10;2022-09-12T08:19:49;Pendiente
