id;name;address;city;comments
1;Egipto La;Market Deportes Money;Jerónimoburgh;Creativo Morado
2;bypassing Metal state;Peso;Paterna Manuela;iterate
3;Cataluña Orígenes connecting;Automatizado;Gandía Gerardoton;customized enterprise
4;Increible B2C Account;Ensalada sistémica;Aliceabury;Home Especialista
5;card Usabilidad Heredado;Hormigon Decoración;Mataró Dolores;Personal
6;Guapo Implementado leading-edge;Azul Castilla-La;Gabrielaview;withdrawal
7;strategic wireless system;Hormigon Muelle;Santa Cruz de Tenerife Diegofort;hardware capacidad
8;efficient;payment Verde;Villaborough;Account Pelota Escalinata
9;Sabroso;Dominicana open-source Usabilidad;Burlington;Plástico Heredado feed
10;Toallas markets Raton;Gerente holistic;Mission Viejo;Facilitador Tajikistan Implementación
