id;date;payment_method;transaction_number;amount;note
1;2022-09-12;Banco;Central Cliente Ejecutivo;65128;override
2;2022-09-12;Banco;Cuentas;62097;Bloque Baleares
3;2022-09-12;Efectivo;Madera parse Camerún;54823;Franc
4;2022-09-12;Efectivo;solid óptima Francia;61331;withdrawal Comunicaciones
5;2022-09-12;Banco;Seguridada;1182;SCSI mano Cataluña
6;2022-09-12;Efectivo;Rojo;94721;Madera Savings
7;2022-09-12;Banco;Cataluña transmitting Representante;36274;index implementación
8;2022-09-12;Banco;Senior THX transition;95829;País Leone
9;2022-09-13;Banco;utilize;23943;override
10;2022-09-13;Efectivo;Toallas Bedfordshire Granito;36220;Zapatos
